archivo,latitud,longitud,localidad,alcaldia_cercana,dist_alcaldia_m,dist_troncal_m,dist_camara_m
1579e5b8112c4510bd6bc91a0b14575f.jpg,4.63037,-74.07552,TEUSAQUILLO,Alcaldía Local de Teusaquillo,319,28,1438
fddd7c5732784030afc88c7ef6bc579c.jpg,4.5974,-74.0778,CANDELARIA,Alcaldía Local de La Candelaria,743,168,1081
accda68540da44b69f59d4b2b4c8d837.jpeg,4.736463888888889,-74.06253055555555,SUBA,Alcaldía Local de Suba,2439,9,1853
ff3b7bd92a0a425796309cfd6ddf618c.jpeg,4.603989,-74.076867,SANTA FE,Alcaldía Local de La Candelaria,716,110,416
884f41e4cc0a4044a0c69f9aedc77835.jpg,4.5959,-74.0792,CANDELARIA,Alcaldía Local de La Candelaria,956,124,1297
467ab9c9f10c4b058e7d17ba145a8890.jpeg,4.677161,-74.042142,CHAPINERO,Alcaldía Local de Usaquén,2311,206,363
bcff9cb379b045589a0d782563955105.jpeg,4.604743,-74.076452,SANTA FE,Alcaldía Local de Santafé,728,114,329
78f54e31779e46a3bd99605a1ebb4a09.jpeg,4.7550027777777775,-74.0800861111111,SUBA,Alcaldía Local de Suba,1645,7,1648
b0bb6bba36dd46549a212d60f962aae7.jpg,4.7279,-74.0625,SUBA,Alcaldía Local de Suba,2783,45,1373
4b6f2e1c40e34351a920c91d5cd7854e.jpg,4.7281,-74.0624,SUBA,Alcaldía Local de Suba,2782,70,1393
46ff1b252b8241dd9ecf6ebc19171131.jpg,4.5956,-74.0794,CANDELARIA,Alcaldía Local de La Candelaria,992,121,1336
9573a40d39c840a6b8a22ccfc581c46f.jpeg,4.695413888888889,-74.08050555555555,SUBA,Alcaldía Local de Engativá,2147,1,1187
1992d3005ddc4cda8c130bfbaf7f4d71.jpeg,4.706841666666667,-74.04259444444445,USAQUEN,Alcaldía Local de Usaquén,1797,5,1196
d77b52f6f3e142eabb1759ee671a6f98.jpg,4.6273,-74.0672,CHAPINERO,Alcaldía Local de Teusaquillo,665,2,2107
d62da32327044396894cb97897ddd25e.jpeg,4.7512,-74.0885,SUBA,Alcaldía Local de Suba,1260,160,953
c3baae1b85fc4a7ca7fbcc048c6fe224.jpg,4.5953897222222215,-74.07454694444444,CANDELARIA,Alcaldía Local de La Candelaria,613,5,1219
79b5ca3752da4a93999c85e6ac067467.jpg,4.0,-74.0,,Alcaldía Local de Sumapaz,28636,46271,64961
915823ac9d0549759de54b92e9392589.jpeg,4.5448,-74.0985,SAN CRISTOBAL,Alcaldía Local de San Cristóbal,3085,30,4010
d9c778c0a5184d199c6fa75e337b6316.jpg,4.595386944444444,-74.07454472222221,CANDELARIA,Alcaldía Local de La Candelaria,613,5,1219
e42c53d7298a49b385651e33b69a41df.jpeg,4.6661472222222224,-74.07894166666667,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1073,69,562
c88953486897485fb6996fb99ea7c088.jpeg,4.6657472222222225,-74.07926111111111,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1110,124,609
b8840a577bee455b9644bcc518fd0db8.jpeg,4.6971,-74.0587,SUBA,Alcaldía Local de Usaquén,3035,324,327
2dbe2022cc6140249304694988f8ae9d.jpeg,4.6657472222222225,-74.07926111111111,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1110,124,609
b16d152972e0430891bf7b3d2fed88b2.jpeg,4.5977,-74.0744,CANDELARIA,Alcaldía Local de La Candelaria,404,110,963
67fd3279392145f08d88f9a4e83abf21.jpeg,4.6834999,-74.0678385,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1708,458,1080
6df05012ddc04521b0fb6540d8345782.jpeg,4.5977,-74.0744,CANDELARIA,Alcaldía Local de La Candelaria,404,110,963
09155acd7b5e4a1da9de0751e477752b.jpeg,4.738452777777778,-74.05750277777777,SUBA,Alcaldía Local de Suba,2962,145,1789
024dc6c7288041fbb83b9292b63ac0da.jpg,4.585788055555556,-74.13154499999999,TUNJUELITO,Alcaldía Local de Rafael Uribe Uribe,1920,7,670
e3e00027e5f540f7bbc8e9130c412b55.jpg,4.600570555555556,-74.07158083333333,CANDELARIA,Alcaldía Local de La Candelaria,50,14,698
d0c10e86a6d242c5a826af6f22efe2ed.jpeg,4.697,-74.0581,SUBA,Alcaldía Local de Usaquén,2967,278,260
e2609e2f04244302872fdc3a8d2dd6c4.jpeg,4.696697222222222,-74.078575,SUBA,Alcaldía Local de Barrios Unidos,2348,16,1291
7137031ef87a4daf8f1cec10a94914db.jpg,4.604,-74.0732,SANTA FE,Alcaldía Local de Santafé,441,8,279
2811497f15044415b8409e22fa63043d.jpg,4.6007,-74.0775,CANDELARIA,Alcaldía Local de La Candelaria,648,1,741
6ace3c706bd84732b4aa84cf715cab46.jpg,4.63046,-74.07504,TEUSAQUILLO,Alcaldía Local de Teusaquillo,275,12,1485
50bce00aaf89461dbbb7e1f9919768a3.jpeg,4.68979804,-74.06760557,SUBA,Alcaldía Local de Barrios Unidos,2167,2,1163
d0a9dc8a0bd245ca847b1708e0af3a87.jpg,4.7275,-74.0623,SUBA,Alcaldía Local de Suba,2825,11,1377
8c427db87c8d4d07a649c8f0fe8543e2.jpeg,4.680277,-74.040497,CHAPINERO,Alcaldía Local de Usaquén,1922,63,736
2699994b7f554dfa86e7a0a269ddf349.jpg,4.6014,-74.0772,CANDELARIA,Alcaldía Local de La Candelaria,628,1,657
607663fbab2a4d51a7b24b5b76dd8646.jpg,4.585388055555555,-74.13311972222222,TUNJUELITO,Alcaldía Local de Tunjuelito,2008,2,849
cf12ff9a8ed947f19e19d450cb041f44.jpeg,4.752,-74.0915,SUBA,Alcaldía Local de Suba,1496,176,745
