X,Y,FID,OBJECTID_1,ID_CÁMARA,NOMBRE_DEL,LONGITUD,LATITUD,DIRECCIÓN,NÚMERO_DE,VELOCIDADM,CORREDOR_P,VIA_SECUND,SENTIDO,CALZADA,CARRILES,LOCALIDAD,INFRACCION
-8250317.82384091,519760.517071127,52,52,DEI-023/CAM-01,AV BOYACA - AC 26 (N-S) C. RAP,-74.113866,4.663929,AV BOYACÁ - CL 24C (N-S),MT-No. 2024000013091 Enero 20 de 2020,50,Av. Boyacá,AC 26,(Norte - Sur),Rápida,2,Fontibón,C.29 - C.14 - C.35 - D.02
-8250316.59932651,519753.033887088,53,53,DEI-023/CAM-02,AV BOYACA - AC 26 (S-N) C. RAP,-74.113855,4.663862,AV BOYACÁ - CL 24C (S-N),MT-No. 2024000013091 Enero 20 de 2020,50,Av. Boyacá,AC 26,(Sur - Norte),Rápida,2,Fontibón,C.29 - C.14 - C.35 - D.02
-8253821.9387721,516077.089600391,54,54,DEI-024/CAM-01,ROTONDA BANDERAS (O-E),-74.145344,4.630949,AV AMÉRICAS - KR 78 (O-E),MT-No. 2024000013091 Enero 20 de 2020,50,Av. Américas,Rotonda Banderas,(Occidente - Oriente),Única,5,Kennedy,C.29 - C.14 - C.35 - D.02
-8254385.88331246,516312.631704296,55,55,DEI-024/CAM-02,ROTONDA BANDERAS (E-O),-74.15041,4.633058,AV AMÉRICAS - TV 78C (E-O),MT-No. 2024000013091 Enero 20 de 2020,50,Av. Américas,Rotonda Banderas,(Oriente - Occidente),Única,5,Kennedy,C.29 - C.14 - C.35 - D.02
-8242632.43751603,530689.860267744,56,56,DEI-025/CAM-01,AUTONORTE - CL 183 (N-S) CAM 1,-74.044827,4.761777,AUTP. NORTE - CL 183 (N-S),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 183,(Norte - Sur),Lenta,3,Suba,C.29 - C.14 - C.35 - D.02
-8242632.43751603,530689.860267744,57,57,DEI-025/CAM-02,AUTONORTE - CL 183 (N-S) CAM 2,-74.044827,4.761777,AUTP. NORTE - CL 183 (N-S),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 183,(Norte - Sur),Rápida,3,Suba,C.29 - C.14 - C.35 - D.02
-8242606.72271366,530686.28570638,58,58,DEI-025/CAM-03,AUTONORTE - CL 183 (S-N) CAM 3,-74.044596,4.761745,AUTP. NORTE - CL 183A (S-N),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 183,(Sur - Norte),Lenta,3,Usaquén,C.29 - C.14 - C.35 - D.02
-8242606.72271366,530686.28570638,59,59,DEI-025/CAM-04,AUTONORTE - CL 183 (S-N) CAM 4,-74.044596,4.761745,AUTP. NORTE - CL 183A (S-N),MT-No. 2024000013091 Enero 20 de 2020,60,Autopista Norte,CL 183,(Sur - Norte),Rápida,3,Usaquén,C.29 - C.14 - C.35 - D.02
-8254260.3149,509360.804200001,60,60,DEI-026/CAM-01,AC 61 SUR - KR 32 (O-E),-74.149282,4.57081,AV VILLAVICENCIO - KR 32 (O-E),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av Villavicencio,KR 32,(Occidente - Oriente),Única,3,Ciudad Bolívar,D.04 - C.35 - D.02
-8254205.6571,509333.667300001,61,61,DEI-026/CAM-02,AC 61 SUR - KR 32 (E-O),-74.148791,4.570567,AV VILLAVICENCIO - KR 28 (E-O),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av Villavicencio,KR 32,(Oriente - Occidente),Única,3,Ciudad Bolívar,D.04 - C.35 - D.02
